region_id,area_km2,geo_x,geo_y,m3_valid_pct,BD1000,BD2000,OH_SPECTRAL_INDICATOR,ICE_SPECTRAL_INDICATOR,BD1000_norm,BD2000_norm,OH_SPECTRAL_INDICATOR_norm,ICE_SPECTRAL_INDICATOR_norm,n_valid_m3_indices,Science_Score
9737,0.145,37711.24568965517,9401.46982758621,0.7457,-0.002866,-0.001015,0.016263,-0.074039,0.0,0.0,0.001657,0.0,4,0.000414
9772,0.103125,-2379.742424242424,9375.196969696968,1.0,,,,,,,,,0,0.0
9782,0.1375,-14999.590909090912,9152.659090909088,1.0,-1.642617,,,,0.0,,,,1,0.0
9807,0.195625,-33856.33067092652,9099.940894568696,1.0,0.152875,0.139841,-0.072884,0.16239,0.010719,0.019817,0.0,0.007315,4,0.008667
9809,0.288125,-5014.43709327549,9378.26572668113,1.0,0.346299,0.137469,0.009337,0.797404,0.024281,0.01948,0.000951,0.035921,4,0.021562
9837,0.449375,27832.149513212804,9126.125869262862,1.0,0.448432,,,,0.031442,,,,1,0.006288
9885,0.26625,37418.98356807513,8985.476525821592,0.9742,-0.849334,-0.006223,0.077153,0.094723,0.0,0.0,0.007859,0.004267,4,0.003458
9897,0.135625,37928.6474654378,9092.66589861751,0.7373,-0.121419,-0.099049,-0.064662,-0.081425,0.0,0.0,0.0,0.0,4,0.0
9920,0.71625,23717.89005235601,8856.826352530537,0.9476,,,3.594767,,,,0.366182,,1,0.091546
9941,1.15,-10275.119565217392,9523.543478260872,1.0,0.110276,0.495345,1.546404,,0.007732,0.070194,0.157525,,3,0.054966
9992,0.393125,-9029.236089030208,8662.701907790142,1.0,,,,,,,,,0,0.0
9997,0.6175,18780.674089068823,9160.874493927127,1.0,0.406412,-0.087629,1.144226,,0.028495,0.0,0.116557,,3,0.034838
9999,0.2575,20859.39077669903,8842.126213592237,1.0,,,,,,,,,0,0.0
10003,0.58375,39959.24304068522,8636.233404710918,1.0,,-0.132544,0.756761,,,0.0,0.077088,,2,0.019272
10057,0.801875,20396.88893219018,9184.13211223694,1.0,,,2.974347,,,,0.302983,,1,0.075746
10065,0.128125,-30593.18292682927,8671.719512195123,1.0,-0.170805,-0.033998,-0.043162,0.106191,0.0,0.0,0.0,0.004784,4,0.001674
10074,0.171875,-33661.13636363637,8562.409090909088,1.0,-0.068284,0.038066,-0.059442,0.090952,0.0,0.005394,0.0,0.004097,4,0.002513
10090,0.2475,26021.59595959596,8598.164141414141,1.0,,,,,,,,,0,0.0
10091,0.09875,29325.1329113924,8625.0253164557,1.0,0.027529,0.25483,0.536148,-0.861769,0.00193,0.036111,0.054615,0.0,4,0.021262
10101,0.22125,25132.9745762712,8587.505649717517,1.0,,0.070064,0.332824,,,0.009929,0.033903,,2,0.010462
10103,0.21,-42445.51488095238,8701.020833333328,1.0,0.668478,0.320926,-1.04442,,0.04687,0.045478,0.0,,3,0.01847
10112,0.154375,25559.41902834008,8478.435222672066,1.0,-0.125139,0.355247,0.605447,,0.0,0.050341,0.061674,,3,0.025487
