region_id,area_km2,geo_x,geo_y,shadow_fraction,shadow_std,shadow_valid_px
305,1.489375,-2940.439152328996,42612.62757028955,0.4316,0.4762,2383.0
306,0.00375,7395.333333333336,42446.333333333336,0.5067,0.3884,6.0
307,0.3925,14494.563694267512,42622.47452229299,0.0674,0.2339,603.0
308,0.001875,16282.833333333336,42467.166666666664,,,
309,0.01,-750.5,42413.0,0.0,0.0,16.0
310,0.003125,7074.5,42425.5,0.68,0.4205,5.0
311,0.0225,11419.63888888889,42456.055555555555,0.0,0.0,36.0
312,0.005,-15575.5,42363.0,0.0,0.0,8.0
313,0.00125,-14850.5,42413.0,0.0,0.0,2.0
314,1.05625,-1916.3284023668602,42509.257396449706,0.1193,0.3067,1690.0
315,0.003125,-15900.5,42375.5,0.0,0.0,5.0
316,0.00125,8674.5,42363.0,0.0,0.0,2.0
317,0.00125,9374.5,42363.0,0.12,0.1697,2.0
318,0.00125,-16550.5,42363.0,0.0,,1.0
319,0.00875,-8670.142857142855,42330.857142857145,1.0,0.0,14.0
320,0.00625,-5823.0,42345.5,0.26,0.2898,10.0
321,0.489375,-1268.5715197956597,42290.05938697318,0.0,0.0,783.0
322,0.001875,-2200.5,42325.5,0.0,0.0,3.0
323,0.01125,-9568.555555555555,42299.11111111111,1.0,0.0,18.0
324,1.70625,-6475.738095238099,41745.07875457875,0.705,0.4224,2730.0
325,0.000625,-5375.5,42300.5,1.0,,1.0
326,0.000625,-3075.5,42300.5,0.0,,1.0
327,0.001875,2649.5,42300.5,0.0,0.0,3.0
328,0.0025,14899.5,42294.25,0.0,0.0,4.0
329,0.006875,-12050.5,42300.5,0.4509,0.3556,11.0
330,0.00125,-9925.5,42263.0,1.0,0.0,2.0
331,0.00375,-6571.3333333333285,42279.666666666664,0.9133,0.1484,6.0
332,0.003125,12574.5,42275.5,0.0,0.0,5.0
333,0.000625,16549.5,42275.5,0.0,,1.0
334,0.005,-12688.0,42250.5,0.0,0.0,8.0
335,0.00125,-4088.0,42250.5,1.0,0.0,2.0
336,0.003125,-3900.5,42250.5,0.904,0.1931,5.0
