region_id,geo_x,geo_y,area_km2,dist_from_centre_km,slope_mean_deg,slope_std_deg,slope_max_deg,roughness_mean_m,roughness_std_m,elev_mean_m,lola_valid_pct,shadow_fraction,shadow_std,dfsar_valid_pct,minirf_valid_pct,qualification_status
7076,22992.99593495934,15782.05487804878,0.3075,27.8883,5.868,3.0788,16.5424,4.9621,2.2748,-2085.4316,1.0,0.9976,0.0383,1.0,0.457317,QUALIFIED
7086,18763.130952380947,15742.166666666668,0.2625,24.4923,6.5237,4.3438,20.4485,4.9687,2.1884,-2020.8622,1.0,0.8623,0.3171,1.0,0.0,QUALIFIED
7090,-8289.864270386264,15955.93186695279,1.165,17.9802,8.6568,4.4457,22.5408,7.335,3.409,-2188.6208,1.0,0.0939,0.2517,1.0,0.0,QUALIFIED
7098,-7457.771944922548,15935.697934595526,0.363125,17.5938,5.4237,2.4771,14.5297,4.3633,1.3466,-2133.9128,1.0,0.0887,0.2352,1.0,0.0,QUALIFIED
7099,-5003.283041212693,15636.28872572241,1.319375,16.4166,8.8014,3.3692,21.4871,7.2634,2.3045,-1975.4959,1.0,0.1217,0.3009,1.0,0.0,QUALIFIED
7111,-17739.03383458647,15973.996240601504,0.083125,23.8707,4.4599,2.3588,12.2064,4.4353,1.8726,-2776.148,1.0,1.0,0.0,0.947368,0.924812,QUALIFIED
7116,21288.311420982733,15886.240371845954,0.94125,26.5626,5.4355,2.4788,14.4052,4.5164,1.6503,-2041.6064,1.0,0.8845,0.2858,1.0,0.623506,QUALIFIED
7121,-6021.320783132527,15782.164156626506,0.415,16.8912,4.7952,2.2316,15.6434,3.8963,1.1519,-2070.7814,1.0,0.1612,0.3153,1.0,0.0,QUALIFIED
7124,24827.600498930857,15664.505702067,0.876875,29.3564,9.25,4.0533,20.3722,7.851,3.0894,-2066.1246,1.0,0.9892,0.0963,1.0,0.0,QUALIFIED
7136,12550.495807127882,15684.916491963664,0.894375,20.088,12.4127,3.1745,24.976,10.6464,1.822,-1726.1188,1.0,0.0462,0.1648,1.0,0.0,QUALIFIED
7168,22034.321428571435,15448.37087912088,0.455,26.9104,3.8925,1.924,16.497,3.0034,1.0426,-2075.5863,1.0,0.9348,0.2282,1.0,0.520604,QUALIFIED
7217,-10988.326666666668,15639.86,1.171875,19.1134,17.6359,3.7229,29.455,15.8086,3.1105,-2133.645,1.0,0.051,0.1918,0.275733,0.0,QUALIFIED
7218,-7922.96621621622,15631.75,0.0925,17.5243,4.2993,2.3653,9.9452,3.5764,1.4221,-2154.7584,1.0,0.0841,0.2413,1.0,0.0,QUALIFIED
7226,-1355.1151701059644,15041.89709983268,2.24125,15.1023,11.5303,4.3156,26.0881,10.048,3.4322,-1688.3902,1.0,0.0582,0.2088,1.0,0.0,QUALIFIED
7231,-38920.856371490285,15602.875809935204,0.289375,41.9312,8.2904,4.036,20.3256,7.9016,3.64,3472.0008,1.0,0.0419,0.1576,0.533477,1.0,QUALIFIED
7263,-13081.21859572134,15826.816511245195,1.139375,20.5324,13.5699,2.8836,26.074,11.9783,1.9728,-2128.3145,1.0,0.0024,0.0339,0.0,0.140976,QUALIFIED
7266,18232.266439909305,15609.45691609977,0.275625,24.0015,5.3303,2.5292,23.1715,4.0702,1.2028,-2048.7986,1.0,0.9683,0.1487,1.0,0.0,QUALIFIED
7272,-6808.592608326253,15425.372557349194,0.735625,16.8605,4.6582,2.5506,16.2193,3.7931,1.5426,-2083.7669,1.0,0.0853,0.2249,1.0,0.0,QUALIFIED
7288,21707.77664399093,14987.40476190476,0.275625,26.3791,2.7366,2.1412,17.0982,2.1927,0.9266,-2064.7227,1.0,0.9235,0.2247,1.0,0.0,QUALIFIED
